,Tipo da uva,Nome da uva,Ano,Kilogramas
131,BRANCAS E ROSADAS,Flora,2008,176229
132,BRANCAS E ROSADAS,Garganega,2008,8530
133,BRANCAS E ROSADAS,Gewurztraminer,2008,196483
134,BRANCAS E ROSADAS,Gouveio,2008,2090
135,BRANCAS E ROSADAS,Gros Manseng,2008,1800
136,BRANCAS E ROSADAS,Malvasia Amarela,2008,131350
137,BRANCAS E ROSADAS,Malvasia Bianca,2008,325942
138,BRANCAS E ROSADAS,Malvasia Chianti,2008,4730
139,BRANCAS E ROSADAS,Malvasia Verde,2008,289366
140,BRANCAS E ROSADAS,Malvasia di Candia,2008,628749
141,BRANCAS E ROSADAS,Moscato Branco,2008,14744061
142,BRANCAS E ROSADAS,Moscato Canelli,2008,65107
143,BRANCAS E ROSADAS,Moscato Giallo,2008,1122457
144,BRANCAS E ROSADAS,Moscato Nazareno,2008,1035000
145,BRANCAS E ROSADAS,Moscato Bianco R2,2008,430599
146,BRANCAS E ROSADAS,Moscato de Alexandria,2008,85756
147,BRANCAS E ROSADAS,Peverella,2008,103270
148,BRANCAS E ROSADAS,Pinot Blanc,2008,40109
149,BRANCAS E ROSADAS,Pinot Gris,2008,41660
150,BRANCAS E ROSADAS,Prosecco,2008,1930887
151,BRANCAS E ROSADAS,Riesling Italico,2008,2698892
152,BRANCAS E ROSADAS,Riesling Renano,2008,243690
153,BRANCAS E ROSADAS,Sauvignon Blanc(2),2008,608983
154,BRANCAS E ROSADAS,Sauvignon Gris,2008,5534
155,BRANCAS E ROSADAS,Semillon,2008,562371
156,BRANCAS E ROSADAS,Schonburger,2008,17687
157,BRANCAS E ROSADAS,Sylvaner,2008,6587
158,BRANCAS E ROSADAS,Trebbiano,2008,1846212
159,BRANCAS E ROSADAS,Vermentino,2008,3090
160,BRANCAS E ROSADAS,Vernaccia,2008,21146
161,BRANCAS E ROSADAS,Viognier,2008,41338
162,TIN,TINTAS,2009,39148123
163,TINTAS,Alicante Bouschet,2009,1652912
164,TINTAS,Ancelota,2009,1370728
165,TINTAS,Alfrocheiro,2009,31168
166,TINTAS,Arinarnoa,2009,39607
167,TINTAS,Barbera,2009,70932
168,TINTAS,Bonarda,2009,2320
169,TINTAS,Cabernet Franc,2009,3365865
170,TINTAS,Cabernet Sauvignon,2009,13229864
171,TINTAS,Carmenere,2009,130269
172,TINTAS,Castelão,2009,16240
173,TINTAS,Corvina,2009,680
174,TINTAS,Egiodola,2009,1157679
175,TINTAS,Gamay St Romain,2009,38260
176,TINTAS,Gamay Beaujolais,2009,208276
177,TINTAS,Jaen,2009,3642
178,TINTAS,Lagrein,2009,670
179,TINTAS,Lambrusco,2009,111537
180,TINTAS,Malbec,2009,393256
181,TINTAS,Merlot,2009,8876279
182,TINTAS,Marselan,2009,228360
183,TINTAS,Molinera,2009,650
184,TINTAS,Montepulciano,2009,21190
185,TINTAS,Napa Gamay,2009,74640
186,TINTAS,Nebbiolo,2009,14148
187,TINTAS,Petit Verdot,2009,56031
188,TINTAS,Petite Sirah,2009,121525
189,TINTAS,Pinotage,2009,978575
190,TINTAS,Pinot Noir,2009,1387200
191,TINTAS,Pinot Saint George,2009,29180
192,TINTAS,Rebo,2009,4240
193,TINTAS,Refosco,2009,10430
194,TINTAS,Rondinella,2009,648
195,TINTAS,Ruby Cabernet,2009,532095
196,TINTAS,Sangiovese,2009,303438
197,TINTAS,Tannat,2009,4199190
198,TINTAS,Tempranillo,2009,242484
199,TINTAS,Teroldego,2009,105372
200,TINTAS,Tinta Barroca,2009,6710
201,TINTAS,Touriga Nacional,2009,131833
202,BRA,BRANCAS E ROSADAS,2009,32556903
203,BRANCAS E ROSADAS,Alvarinho,2009,1675
204,BRANCAS E ROSADAS,Arriloba,2009,35375
205,BRANCAS E ROSADAS,Chardonnay,2009,4812743
206,BRANCAS E ROSADAS,Chasselas,2009,32425
207,BRANCAS E ROSADAS,Chenin Blanc,2009,347230
208,BRANCAS E ROSADAS,Colombard,2009,717624
209,BRANCAS E ROSADAS,Flora,2009,131760
210,BRANCAS E ROSADAS,Garganega,2009,3170
211,BRANCAS E ROSADAS,Gewurztraminer,2009,155338
212,BRANCAS E ROSADAS,Gouveio,2009,7830
213,BRANCAS E ROSADAS,Gros Manseng,2009,3289
214,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2009,2650
215,BRANCAS E ROSADAS,Malvasia Amarela,2009,153905
216,BRANCAS E ROSADAS,Malvasia Bianca,2009,281064
217,BRANCAS E ROSADAS,Malvasia Verde,2009,331718
218,BRANCAS E ROSADAS,Malvasia di Candia,2009,739588
219,BRANCAS E ROSADAS,Moscato Branco,2009,14294841
220,BRANCAS E ROSADAS,Moscato Canelli,2009,61009
221,BRANCAS E ROSADAS,Moscato Giallo,2009,1446926
222,BRANCAS E ROSADAS,Moscato Nazareno,2009,858910
223,BRANCAS E ROSADAS,Moscato Bianco R2,2009,510594
224,BRANCAS E ROSADAS,Moscato de Alexandria,2009,87359
225,BRANCAS E ROSADAS,Peverella,2009,48994
226,BRANCAS E ROSADAS,Pinot Blanc,2009,8030
227,BRANCAS E ROSADAS,Pinot Gris,2009,52000
228,BRANCAS E ROSADAS,Prosecco,2009,2169397
229,BRANCAS E ROSADAS,Riesling Italico,2009,2466530
230,BRANCAS E ROSADAS,Riesling Renano,2009,90530
231,BRANCAS E ROSADAS,Sauvignon Blanc(2),2009,657286
232,BRANCAS E ROSADAS,Sauvignon Gris,2009,2147
233,BRANCAS E ROSADAS,Semillon,2009,382995
234,BRANCAS E ROSADAS,Schonburger,2009,16930
235,BRANCAS E ROSADAS,Sylvaner,2009,492
236,BRANCAS E ROSADAS,Trebbiano,2009,1578176
237,BRANCAS E ROSADAS,Vermentino,2009,1940
238,BRANCAS E ROSADAS,Vernaccia,2009,14498
239,BRANCAS E ROSADAS,Viognier,2009,49935
240,TIN,TINTAS,2010,23633831
241,TINTAS,Alicante Bouschet,2010,849263
242,TINTAS,Ancelota,2010,853718
243,TINTAS,Arinarnoa,2010,35790
244,TINTAS,Barbera,2010,26044
245,TINTAS,Cabernet Franc,2010,2125997
246,TINTAS,Cabernet Sauvignon,2010,6617553
247,TINTAS,Carmenere,2010,85264
248,TINTAS,Castelão,2010,16230
249,TINTAS,Corvina,2010,100
250,TINTAS,Egiodola,2010,845205
251,TINTAS,Franconia,2010,9310
252,TINTAS,Gamay St Romain,2010,44153
253,TINTAS,Gamay Beaujolais,2010,84074
254,TINTAS,Lagrein,2010,5670
255,TINTAS,Lambrusco,2010,68480
256,TINTAS,Malbec,2010,318059
257,TINTAS,Merlot,2010,6179006
258,TINTAS,Marselan,2010,200025
259,TINTAS,Molinera,2010,100
260,TINTAS,Montepulciano,2010,17959
261,TINTAS,Nebbiolo,2010,11986
262,TINTAS,Petit Verdot,2010,109942
263,TINTAS,Petite Sirah,2010,29457
264,TINTAS,Pinotage,2010,644072
265,TINTAS,Pinot Noir,2010,1309849
266,TINTAS,Rebo,2010,1650
267,TINTAS,Refosco,2010,9466
268,TINTAS,Rondinella,2010,100
269,TINTAS,Ruby Cabernet,2010,379720
270,TINTAS,Sangiovese,2010,258484
271,TINTAS,Tannat,2010,2266985
272,TINTAS,Tempranillo,2010,63526
273,TINTAS,Teroldego,2010,68593
274,TINTAS,Touriga Nacional,2010,97629
275,TINTAS,Zinfandel,2010,372
276,BRA,BRANCAS E ROSADAS,2010,22104122
277,BRANCAS E ROSADAS,Alvarinho,2010,1088
278,BRANCAS E ROSADAS,Arriloba,2010,33750
279,BRANCAS E ROSADAS,Chardonnay,2010,3836555
280,BRANCAS E ROSADAS,Chasselas,2010,47099
281,BRANCAS E ROSADAS,Chenin Blanc,2010,73720
282,BRANCAS E ROSADAS,Colombard,2010,479201
283,BRANCAS E ROSADAS,Flora,2010,35860
284,BRANCAS E ROSADAS,Gewurztraminer,2010,105186
285,BRANCAS E ROSADAS,Gouveio,2010,4358
286,BRANCAS E ROSADAS,Gros Manseng,2010,4430
287,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2010,2230
288,BRANCAS E ROSADAS,Malvasia Amarela,2010,251587
289,BRANCAS E ROSADAS,Malvasia Bianca,2010,49176
290,BRANCAS E ROSADAS,Malvasia Chianti,2010,2142
291,BRANCAS E ROSADAS,Malvasia Verde,2010,83565
292,BRANCAS E ROSADAS,Malvasia di Candia,2010,649194
293,BRANCAS E ROSADAS,Moscato Branco,2010,8595609
294,BRANCAS E ROSADAS,Moscato Canelli,2010,55811
295,BRANCAS E ROSADAS,Moscato Giallo,2010,1151570
296,BRANCAS E ROSADAS,Moscato Nazareno,2010,690210
297,BRANCAS E ROSADAS,Moscato Bianco R2,2010,317404
298,BRANCAS E ROSADAS,Moscato de Alexandria,2010,41426
299,BRANCAS E ROSADAS,Moscato Rosado,2010,2396
300,BRANCAS E ROSADAS,Ora,2010,4045
301,BRANCAS E ROSADAS,Peverella,2010,28945
302,BRANCAS E ROSADAS,Pinot Blanc,2010,16940
303,BRANCAS E ROSADAS,Pinot Gris,2010,36036
304,BRANCAS E ROSADAS,Prosecco,2010,1345161
305,BRANCAS E ROSADAS,Riesling Italico,2010,2120405
306,BRANCAS E ROSADAS,Riesling Renano,2010,96828
307,BRANCAS E ROSADAS,Sauvignon Blanc(2),2010,350866
308,BRANCAS E ROSADAS,Sauvignon Gris,2010,3629
309,BRANCAS E ROSADAS,Semillon,2010,165518
310,BRANCAS E ROSADAS,Trebbiano,2010,1338957
311,BRANCAS E ROSADAS,Vermentino,2010,560
312,BRANCAS E ROSADAS,Vernaccia,2010,6520
313,BRANCAS E ROSADAS,Viognier,2010,76145
314,TIN,TINTAS,2011,44473588
315,TINTAS,Alicante Bouschet,2011,2130579
316,TINTAS,Ancelota,2011,1346552
317,TINTAS,Alfrocheiro,2011,4320
318,TINTAS,Arinarnoa,2011,49376
319,TINTAS,Aspirant Bouschet,2011,2258
320,TINTAS,Barbera,2011,76397
321,TINTAS,Bonarda,2011,250
322,TINTAS,Cabernet Franc,2011,2741150
323,TINTAS,Cabernet Sauvignon,2011,13039126
324,TINTAS,Carmenere,2011,50125
325,TINTAS,Castelão,2011,26790
326,TINTAS,Corvina,2011,1110
327,TINTAS,Egiodola,2011,1544746
328,TINTAS,Ekigaina,2011,1350
329,TINTAS,Festival (Sugraone),2011,18007
330,TINTAS,Gamay St Romain,2011,20830
331,TINTAS,Gamay Beaujolais,2011,164201
332,TINTAS,Grenache,2011,1180
333,TINTAS,Lagrein,2011,3288
334,TINTAS,Lambrusco,2011,94480
335,TINTAS,Malbec,2011,636608
336,TINTAS,Marzemina,2011,5460
337,TINTAS,Merlot,2011,12510489
338,TINTAS,Marselan,2011,339023
339,TINTAS,Molinera,2011,1080
340,TINTAS,Montepulciano,2011,21115
341,TINTAS,Napa Gamay,2011,31410
342,TINTAS,Nebbiolo,2011,21342
343,TINTAS,Petit Verdot,2011,127549
344,TINTAS,Petite Sirah,2011,98861
345,TINTAS,Pinotage,2011,1075863
346,TINTAS,Pinot Noir,2011,2513274
347,TINTAS,Pinot Saint George,2011,7600
348,TINTAS,Rebo,2011,27620
349,TINTAS,Refosco,2011,18705
350,TINTAS,Rondinella,2011,1150
351,TINTAS,Ruby Cabernet,2011,582497
352,TINTAS,Sangiovese,2011,359833
353,TINTAS,Tannat,2011,4152135
354,TINTAS,Tempranillo,2011,256836
355,TINTAS,Teroldego,2011,179095
356,TINTAS,Touriga Nacional,2011,189928
357,BRA,BRANCAS E ROSADAS,2011,37931015
358,BRANCAS E ROSADAS,Aligote,2011,2640
359,BRANCAS E ROSADAS,Alvarinho,2011,6668
360,BRANCAS E ROSADAS,Arriloba,2011,38390
361,BRANCAS E ROSADAS,Chardonnay,2011,4916344
362,BRANCAS E ROSADAS,Chasselas,2011,29543
363,BRANCAS E ROSADAS,Chenin Blanc,2011,212900
364,BRANCAS E ROSADAS,Clairette(1),2011,949
365,BRANCAS E ROSADAS,Colombard,2011,445104
366,BRANCAS E ROSADAS,Flora,2011,37620
367,BRANCAS E ROSADAS,Gewurztraminer,2011,206833
368,BRANCAS E ROSADAS,Gros Manseng,2011,7220
369,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2011,6405
370,BRANCAS E ROSADAS,Malvasia Amarela,2011,107015
371,BRANCAS E ROSADAS,Malvasia Bianca,2011,138608
372,BRANCAS E ROSADAS,Malvasia Verde,2011,60776
373,BRANCAS E ROSADAS,Malvasia di Candia,2011,1727224
374,BRANCAS E ROSADAS,Moscato Branco,2011,16871284
375,BRANCAS E ROSADAS,Moscato Canelli,2011,92887
376,BRANCAS E ROSADAS,Moscato Giallo,2011,1949920
377,BRANCAS E ROSADAS,Moscato Nazareno,2011,882104
378,BRANCAS E ROSADAS,Moscato Bianco R2,2011,808748
379,BRANCAS E ROSADAS,Moscato de Alexandria,2011,105384
380,BRANCAS E ROSADAS,Moscato Rosado,2011,7617
381,BRANCAS E ROSADAS,Peverella,2011,64218
382,BRANCAS E ROSADAS,Pinot Blanc,2011,26307
383,BRANCAS E ROSADAS,Pinot Gris,2011,158788
384,BRANCAS E ROSADAS,Prosecco,2011,2720048
385,BRANCAS E ROSADAS,Riesling Italico,2011,2618429
386,BRANCAS E ROSADAS,Riesling Renano,2011,125166
387,BRANCAS E ROSADAS,Sauvignon Blanc(2),2011,612060
388,BRANCAS E ROSADAS,Sauvignon Gris,2011,8513
389,BRANCAS E ROSADAS,Semillon,2011,312204
390,BRANCAS E ROSADAS,Schonburger,2011,14538
391,BRANCAS E ROSADAS,Sylvaner,2011,1435
392,BRANCAS E ROSADAS,Trebbiano,2011,2439317
393,BRANCAS E ROSADAS,Verdelho,2011,12420
394,BRANCAS E ROSADAS,Vermentino,2011,5480
395,BRANCAS E ROSADAS,Vernaccia,2011,4930
396,BRANCAS E ROSADAS,Viognier,2011,144979
397,TIN,TINTAS,2012,39303313
398,TINTAS,Alicante Bouschet,2012,2098824
399,TINTAS,Ancelota,2012,1274677
400,TINTAS,Arinarnoa,2012,81026
401,TINTAS,Aspirant Bouschet,2012,7448
402,TINTAS,Barbera,2012,47549
403,TINTAS,Bonarda,2012,1114
404,TINTAS,Cabernet Franc,2012,2594675
405,TINTAS,Cabernet Sauvignon,2012,11355820
406,TINTAS,Carmenere,2012,48990
407,TINTAS,Corvina,2012,1200
408,TINTAS,Egiodola,2012,992241
409,TINTAS,Ekigaina,2012,2630
410,TINTAS,Gamay St Romain,2012,10995
411,TINTAS,Gamay Beaujolais,2012,163664
412,TINTAS,Lagrein,2012,800
413,TINTAS,Lambrusco,2012,52740
414,TINTAS,Malbec,2012,629019
415,TINTAS,Merlot,2012,9645204
416,TINTAS,Marselan,2012,261314
417,TINTAS,Molinera,2012,990
418,TINTAS,Montepulciano,2012,27678
419,TINTAS,Napa Gamay,2012,86650
420,TINTAS,Nebbiolo,2012,37530
421,TINTAS,Petit Verdot,2012,102402
422,TINTAS,Petite Sirah,2012,149196
423,TINTAS,Pinotage,2012,863296
424,TINTAS,Pinot Noir,2012,2799071
425,TINTAS,Pinot Saint George,2012,20920
426,TINTAS,Rebo,2012,16440
427,TINTAS,Refosco,2012,12120
428,TINTAS,Rondinella,2012,1020
429,TINTAS,Ruby Cabernet,2012,470683
430,TINTAS,Sangiovese,2012,280756
431,TINTAS,Tannat,2012,4585214
432,TINTAS,Tempranillo,2012,283929
433,TINTAS,Teroldego,2012,157368
434,TINTAS,Torrontes,2012,4300
435,TINTAS,Touriga Nacional,2012,133820
436,BRA,BRANCAS E ROSADAS,2012,36519724
437,BRANCAS E ROSADAS,Alvarinho,2012,5081
438,BRANCAS E ROSADAS,Arriloba,2012,40000
439,BRANCAS E ROSADAS,Chardonnay,2012,6347044
440,BRANCAS E ROSADAS,Chenin Blanc,2012,257090
441,BRANCAS E ROSADAS,Colombard,2012,773273
442,BRANCAS E ROSADAS,Flora,2012,68260
443,BRANCAS E ROSADAS,Gewurztraminer,2012,327678
444,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2012,61799
445,BRANCAS E ROSADAS,Malvasia Amarela,2012,115147
446,BRANCAS E ROSADAS,Malvasia Bianca,2012,119122
447,BRANCAS E ROSADAS,Malvasia Verde,2012,10979
448,BRANCAS E ROSADAS,Malvasia di Candia,2012,1825193
449,BRANCAS E ROSADAS,Moscato Branco,2012,13322429
450,BRANCAS E ROSADAS,Moscato Canelli,2012,123255
451,BRANCAS E ROSADAS,Moscato Giallo,2012,1641498
452,BRANCAS E ROSADAS,Moscato Nazareno,2012,633606
453,BRANCAS E ROSADAS,Moscato Bianco R2,2012,618266
454,BRANCAS E ROSADAS,Moscato de Alexandria,2012,184748
455,BRANCAS E ROSADAS,Peverella,2012,43656
456,BRANCAS E ROSADAS,Pinot Blanc,2012,10174
457,BRANCAS E ROSADAS,Pinot Gris,2012,187685
458,BRANCAS E ROSADAS,Prosecco,2012,2420715
459,BRANCAS E ROSADAS,Riesling Italico,2012,3172992
460,BRANCAS E ROSADAS,Riesling Renano,2012,195120
461,BRANCAS E ROSADAS,Sauvignon Blanc(2),2012,855045
462,BRANCAS E ROSADAS,Sauvignon Gris,2012,2854
463,BRANCAS E ROSADAS,Semillon,2012,336252
464,BRANCAS E ROSADAS,Schonburger,2012,21348
465,BRANCAS E ROSADAS,Sylvaner,2012,144
466,BRANCAS E ROSADAS,Trebbiano,2012,2576020
467,BRANCAS E ROSADAS,Verdelho,2012,14339
468,BRANCAS E ROSADAS,Vermentino,2012,4844
469,BRANCAS E ROSADAS,Vernaccia,2012,3780
470,BRANCAS E ROSADAS,Viognier,2012,200288
471,TIN,TINTAS,2013,36855419
472,TINTAS,Alicante Bouschet,2013,1524728
473,TINTAS,Ancelota,2013,1137943
474,TINTAS,Arinarnoa,2013,65001
475,TINTAS,Aspirant Bouschet,2013,3650
476,TINTAS,Barbera,2013,40630
477,TINTAS,Cabernet Franc,2013,2452229
478,TINTAS,Cabernet Sauvignon,2013,10651084
479,TINTAS,Caladoc,2013,2480
480,TINTAS,Carmenere,2013,44414
481,TINTAS,Corvina,2013,1382
482,TINTAS,Egiodola,2013,1059250
483,TINTAS,Ekigaina,2013,1720
484,TINTAS,Gamay St Romain,2013,11615
485,TINTAS,Gamay Beaujolais,2013,135405
486,TINTAS,Lagrein,2013,15300
487,TINTAS,Lambrusco,2013,56120
488,TINTAS,Malbec,2013,590041
489,TINTAS,Merlot,2013,10179782
490,TINTAS,Marselan,2013,345504
491,TINTAS,Molinera,2013,1009
492,TINTAS,Montepulciano,2013,41888
493,TINTAS,Napa Gamay,2013,55550
494,TINTAS,Nebbiolo,2013,9327
