,Data,Tipo da uva,Nome da uva,Kilogramas
112,2008-01-01,TINTAS,Pinot Saint George,28170
113,2008-01-01,TINTAS,Rebo,7610
114,2008-01-01,TINTAS,Refosco,59340
115,2008-01-01,TINTAS,Rondinella,668
116,2008-01-01,TINTAS,Ruby Cabernet,679484
117,2008-01-01,TINTAS,Sangiovese,405224
118,2008-01-01,TINTAS,Sira (falsa),14145
119,2008-01-01,TINTAS,Tannat,4711255
120,2008-01-01,TINTAS,Tempranillo,241017
121,2008-01-01,TINTAS,Teroldego,69876
122,2008-01-01,TINTAS,Tinta Barroca,12870
123,2008-01-01,TINTAS,Touriga Nacional,101376
124,2008-01-01,BRA,BRANCAS E ROSADAS,34602464
125,2008-01-01,BRANCAS E ROSADAS,Alvarinho,1071
126,2008-01-01,BRANCAS E ROSADAS,Arriloba,51380
127,2008-01-01,BRANCAS E ROSADAS,Chardonnay,5829449
128,2008-01-01,BRANCAS E ROSADAS,Chasselas,58390
129,2008-01-01,BRANCAS E ROSADAS,Chenin Blanc,362750
130,2008-01-01,BRANCAS E ROSADAS,Colombard,879719
131,2008-01-01,BRANCAS E ROSADAS,Flora,176229
132,2008-01-01,BRANCAS E ROSADAS,Garganega,8530
133,2008-01-01,BRANCAS E ROSADAS,Gewurztraminer,196483
134,2008-01-01,BRANCAS E ROSADAS,Gouveio,2090
135,2008-01-01,BRANCAS E ROSADAS,Gros Manseng,1800
136,2008-01-01,BRANCAS E ROSADAS,Malvasia Amarela,131350
137,2008-01-01,BRANCAS E ROSADAS,Malvasia Bianca,325942
138,2008-01-01,BRANCAS E ROSADAS,Malvasia Chianti,4730
139,2008-01-01,BRANCAS E ROSADAS,Malvasia Verde,289366
140,2008-01-01,BRANCAS E ROSADAS,Malvasia di Candia,628749
141,2008-01-01,BRANCAS E ROSADAS,Moscato Branco,14744061
142,2008-01-01,BRANCAS E ROSADAS,Moscato Canelli,65107
143,2008-01-01,BRANCAS E ROSADAS,Moscato Giallo,1122457
144,2008-01-01,BRANCAS E ROSADAS,Moscato Nazareno,1035000
145,2008-01-01,BRANCAS E ROSADAS,Moscato Bianco R2,430599
146,2008-01-01,BRANCAS E ROSADAS,Moscato de Alexandria,85756
147,2008-01-01,BRANCAS E ROSADAS,Peverella,103270
148,2008-01-01,BRANCAS E ROSADAS,Pinot Blanc,40109
149,2008-01-01,BRANCAS E ROSADAS,Pinot Gris,41660
150,2008-01-01,BRANCAS E ROSADAS,Prosecco,1930887
151,2008-01-01,BRANCAS E ROSADAS,Riesling Italico,2698892
152,2008-01-01,BRANCAS E ROSADAS,Riesling Renano,243690
153,2008-01-01,BRANCAS E ROSADAS,Sauvignon Blanc(2),608983
154,2008-01-01,BRANCAS E ROSADAS,Sauvignon Gris,5534
155,2008-01-01,BRANCAS E ROSADAS,Semillon,562371
156,2008-01-01,BRANCAS E ROSADAS,Schonburger,17687
157,2008-01-01,BRANCAS E ROSADAS,Sylvaner,6587
158,2008-01-01,BRANCAS E ROSADAS,Trebbiano,1846212
159,2008-01-01,BRANCAS E ROSADAS,Vermentino,3090
160,2008-01-01,BRANCAS E ROSADAS,Vernaccia,21146
161,2008-01-01,BRANCAS E ROSADAS,Viognier,41338
162,2009-01-01,TIN,TINTAS,39148123
163,2009-01-01,TINTAS,Alicante Bouschet,1652912
164,2009-01-01,TINTAS,Ancelota,1370728
165,2009-01-01,TINTAS,Alfrocheiro,31168
166,2009-01-01,TINTAS,Arinarnoa,39607
167,2009-01-01,TINTAS,Barbera,70932
168,2009-01-01,TINTAS,Bonarda,2320
169,2009-01-01,TINTAS,Cabernet Franc,3365865
170,2009-01-01,TINTAS,Cabernet Sauvignon,13229864
171,2009-01-01,TINTAS,Carmenere,130269
172,2009-01-01,TINTAS,Castelão,16240
173,2009-01-01,TINTAS,Corvina,680
174,2009-01-01,TINTAS,Egiodola,1157679
175,2009-01-01,TINTAS,Gamay St Romain,38260
176,2009-01-01,TINTAS,Gamay Beaujolais,208276
